Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2017-07-20,151.5,151.74,150.19,150.34,17243748.0,0.0,1.0,36.05318059066089,36.11029454011144,35.74143361657662,35.77712983498322,68974992.0
2017-07-19,150.48,151.42,149.95,151.02,20922969.0,0.0,1.0,35.810446305496036,36.034142607510695,35.68431966712607,35.93895269175978,83691876.0
2017-07-18,149.2,150.13,148.67,150.08,17868792.0,0.0,1.0,35.505838575093094,35.72715512921398,35.379711936723126,35.71525638974512,71475168.0
2017-07-17,148.82,150.9,148.57,149.56,23793456.0,0.0,1.0,35.41540815512972,35.910395717034504,35.355914457785396,35.59150949926892,95173824.0
2017-07-14,147.97,149.33,147.33,149.04,20132061.0,0.0,1.0,35.21312958415902,35.53677529771215,35.06082571895755,35.467762608792725,80528244.0
2017-07-13,145.5,148.49,145.44,147.77,25199373.0,0.0,1.0,34.62533185439709,35.33687647463522,34.61105336703445,35.16553462628356,100797492.0
2017-07-12,145.87,146.18,144.82,145.74,24884478.0,0.0,1.0,34.71338252646669,34.787154711173656,34.46350899762052,34.68244580384764,99537912.0
2017-07-11,144.73,145.85,144.38,145.53,19781836.0,0.0,1.0,34.44209126657656,34.70862303067914,34.35880009029451,34.632471098078405,79127344.0
2017-07-10,144.11,145.95,143.37,145.06,21090636.0,0.0,1.0,34.29454689716265,34.73242050961687,34.11844555302344,34.520622947071075,84362544.0
2017-07-07,142.9,144.75,142.9,144.18,19201712.0,0.0,1.0,34.00659740201611,34.446850762364114,34.00659740201611,34.311205132419055,76806848.0
2017-07-06,143.02,143.5,142.41,142.73,24128782.0,0.0,1.0,34.03515437674139,34.14938227564249,33.88998975522123,33.96614168782197,96515128.0
2017-07-05,143.69,144.79,142.7237,144.09,21569557.0,0.0,1.0,34.19459748562417,34.45636975393921,33.964642446648895,34.289787401375094,86278228.0
2017-07-03,144.88,145.3,143.1,143.5,14258300.0,0.0,1.0,34.47778748498316,34.57773689652163,34.054192359891566,34.14938227564249,57033200.0
2017-06-30,144.45,144.96,143.78,144.02,23024107.0,0.0,1.0,34.37545832555092,34.496825468133345,34.21601521666813,34.273129166118686,92096428.0
2017-06-29,144.71,145.13,142.28,143.68,31499368.0,0.0,1.0,34.43733177078902,34.53728118232748,33.85905303260218,34.1922177377304,125997472.0
2017-06-28,144.49,146.11,143.1601,145.83,22082432.0,0.0,1.0,34.384977317126015,34.77049647591724,34.06849464473314,34.7038635348916,88329728.0
2017-06-27,145.01,146.16,143.62,143.73,24761891.0,0.0,1.0,34.50872420760221,34.7823952153861,34.177939250367764,34.204116477199264,99047564.0
2017-06-26,147.17,148.28,145.38,145.82,25692361.0,0.0,1.0,35.02274975265718,35.28690176886598,34.59677487967181,34.70148378699782,102769444.0
2017-06-23,145.13,147.16,145.11,146.28,35439389.0,0.0,1.0,34.53728118232748,35.02037000476341,34.532521686539944,34.81095219011138,141757556.0
2017-06-22,145.77,146.7,145.1199,145.63,19106294.0,0.0,1.0,34.68958504752896,34.91090160164985,34.534877636954775,34.656268577016135,76425176.0
2017-06-21,145.52,146.0693,144.61,145.87,21265751.0,0.0,1.0,34.630091350184635,34.760810901989586,34.41353429185129,34.71338252646669,85063004.0
2017-06-20,146.87,146.87,144.94,145.01,24900073.0,0.0,1.0,34.95135731584399,34.95135731584399,34.4920659723458,34.50872420760221,99600292.0
2017-06-19,143.66,146.74,143.66,146.34,32541404.0,0.0,1.0,34.187458241942856,34.92042059322494,34.187458241942856,34.82523067747402,130165616.0
2017-06-16,143.78,144.5,142.2,142.27,50361093.0,0.0,1.0,34.21601521666813,34.387357065019785,33.840015049452,33.856673284708414,201444372.0
2017-06-15,143.32,144.4798,142.21,144.29,32165373.0,0.0,1.0,34.10654681355457,34.38254997427437,33.842394797345776,34.337382359250554,128661492.0
2017-06-14,147.5,147.5,143.84,145.16,31531232.0,0.0,1.0,35.101281433151684,35.101281433151684,34.23029370403077,34.544420426008806,126124928.0
2017-06-13,147.16,147.45,145.15,146.59,34165445.0,0.0,1.0,35.02037000476341,35.08938269368282,34.542040678115036,34.88472437481835,136661780.0
2017-06-12,145.74,146.09,142.51,145.42,72307330.0,0.0,1.0,34.68244580384764,34.765736980129695,33.91378723415896,34.6062938712469,289229320.0
2017-06-09,155.19,155.19,146.02,148.98,64882657.0,0.0,1.0,36.93130756346312,36.93130756346312,34.74907874487329,35.45348412143009,259530628.0
2017-06-08,155.25,155.54,154.4,154.99,21250798.0,0.0,1.0,36.94558605082576,37.014598739745175,36.743307479855055,36.88371260558766,85003192.0
2017-06-07,155.02,155.98,154.48,155.37,21069647.0,0.0,1.0,36.890851849268984,37.11930764707118,36.76234546300523,36.97414302555104,84278588.0
2017-06-06,153.9,155.81,153.78,154.45,26624926.0,0.0,1.0,36.6243200851664,37.07885193287704,36.595763110441126,36.75520621932392,106499704.0
2017-06-05,154.34,154.45,153.46,153.93,25331662.0,0.0,1.0,36.72902899249242,36.75520621932392,36.519611177840396,36.631459328847725,101326648.0
2017-06-02,153.58,155.45,152.89,155.45,27770715.0,0.0,1.0,36.54816815256567,36.993181008701214,36.38396554789533,36.993181008701214,111082860.0
2017-06-01,153.17,153.33,152.22,153.18,16404088.0,0.0,1.0,36.450598488920974,36.48867445522134,36.22452243901254,36.45297823681475,65616352.0
2017-05-31,153.97,154.17,152.38,152.76,24451164.0,0.0,1.0,36.64097832042282,36.68857327829827,36.26259840531291,36.35302882527628,97804656.0
2017-05-30,153.42,154.43,153.33,153.67,20126851.0,0.0,1.0,36.5100921862653,36.75044672353638,36.48867445522134,36.56958588360962,80507404.0
2017-05-26,154.0,154.24,153.31,153.61,21927637.0,0.0,1.0,36.64811756410413,36.705231513554686,36.4839149594338,36.55530739624699,87710548.0
2017-05-25,153.73,154.35,153.03,153.87,19235598.0,0.0,1.0,36.58386437097226,36.731408740386186,36.41728201840815,36.61718084148509,76942392.0
2017-05-24,153.84,154.17,152.67,153.34,19219154.0,0.0,1.0,36.610041597803765,36.68857327829827,36.33161109423232,36.49105420311512,76876616.0
2017-05-23,154.9,154.9,153.31,153.8,19918871.0,0.0,1.0,36.86229487454371,36.86229487454371,36.4839149594338,36.60052260622868,79675484.0
2017-05-22,154.0,154.58,152.91,153.99,22966437.0,0.0,1.0,36.64811756410413,36.78614294194297,36.388725043682875,36.645737816210364,91865748.0
2017-05-19,153.38,153.98,152.63,153.06,26960788.0,0.0,1.0,36.500573194690205,36.64335806831659,36.32209210265723,36.424421262089474,107843152.0
2017-05-18,151.27,153.34,151.13,152.54,33568215.0,0.0,1.0,35.99844638910411,36.49105420311512,35.96512991859128,36.300674371613276,134272860.0
2017-05-17,153.6,154.57,149.71,150.25,50767678.0,0.0,1.0,36.55292764835321,36.78376319404919,35.62720571767552,35.75571210393926,203070712.0
2017-05-16,155.94,156.06,154.72,155.47,20048478.0,0.0,1.0,37.1097886554961,37.13834563022137,36.81945941245579,36.99794050448877,80193912.0
2017-05-15,156.01,156.65,155.05,155.7,26009719.0,0.0,1.0,37.126446890752504,37.27875075595398,36.8979910929503,37.05267470604554,104038876.0
